abb,rival,is_local,base_puntos,base_x3pt,base_rebotes,base_asistencias,base_valoracion,alero_puntos,alero_x3pt,alero_rebotes,alero_asistencias,alero_valoracion,pivot_puntos,pivot_x3pt,pivot_rebotes,pivot_asistencias,pivot_valoracion,base_puntos_encontra,base_x3pt_encontra,base_rebotes_encontra,base_asistencias_encontra,base_valoracion_encontra,alero_puntos_encontra,alero_x3pt_encontra,alero_rebotes_encontra,alero_asistencias_encontra,alero_valoracion_encontra,pivot_puntos_encontra,pivot_x3pt_encontra,pivot_rebotes_encontra,pivot_asistencias_encontra,pivot_valoracion_encontra,id_match,matchweek_number,equipo.x,logo.x,color,url.x,logo_cuadrado,equipo.y,logo.y,color_rival,url.y,logo_rival
BUR,Todos,Todas,5,1,2,1,6,10,1,4,2,9,6,0,3,1,6,9,1,2,3,9,8,0,3,2,7,7,0,4,0,7,NA,Jor. NA,Recoletas Salud San Pablo Burgos,https://static.acb.com/img/www/clubes2025/2526SanPabloLogo.png,#00669E,https://www.acb.com/club/plantilla/id/549,https://raw.githubusercontent.com/IvoVillanueva/acbLogosCuadrados/6619f59f8ffb70434097d865e0aab02d1aa0fc2c/BUR.svg,NA,NA,NA,NA,NA
BUR,Todos,Todas Local,7,1,3,2,10,11,1,4,1,11,6,0,3,1,6,5,1,2,4,3,10,0,3,1,9,5,0,3,0,5,NA,Jor. NA,Recoletas Salud San Pablo Burgos,https://static.acb.com/img/www/clubes2025/2526SanPabloLogo.png,#00669E,https://www.acb.com/club/plantilla/id/549,https://raw.githubusercontent.com/IvoVillanueva/acbLogosCuadrados/6619f59f8ffb70434097d865e0aab02d1aa0fc2c/BUR.svg,NA,NA,NA,NA,NA
BUR,Todos,Todas  Visitante,3,0,1,1,2,9,1,3,2,7,6,0,3,1,7,12,1,3,2,14,6,0,3,3,6,10,1,5,0,9,NA,Jor. NA,Recoletas Salud San Pablo Burgos,https://static.acb.com/img/www/clubes2025/2526SanPabloLogo.png,#00669E,https://www.acb.com/club/plantilla/id/549,https://raw.githubusercontent.com/IvoVillanueva/acbLogosCuadrados/6619f59f8ffb70434097d865e0aab02d1aa0fc2c/BUR.svg,NA,NA,NA,NA,NA
BUR,GIR,Local,6.7,1,2.7,1.7,9.7,11,1,4.2,1.4,11.4,5.5,0,3,0.8,5.8,5.2,0.8,1.8,4,3.2,9.8,0.5,3,1.2,9,4.8,0,3,0.5,5.2,104460,Jor. 1,Recoletas Salud San Pablo Burgos,https://static.acb.com/img/www/clubes2025/2526SanPabloLogo.png,#00669E,https://www.acb.com/club/plantilla/id/549,https://raw.githubusercontent.com/IvoVillanueva/acbLogosCuadrados/6619f59f8ffb70434097d865e0aab02d1aa0fc2c/BUR.svg,Bàsquet Girona,https://static.acb.com/img/www/clubes2023/BASQUET-GIRONA-Logonegativo2223.png,#B32836,https://www.acb.com/club/plantilla/id/591,https://raw.githubusercontent.com/IvoVillanueva/acbLogosCuadrados/6619f59f8ffb70434097d865e0aab02d1aa0fc2c/GIR.png
BUR,SBB,Visitante,3,0.5,1,1,1.5,9,0.8,3,2,7.2,6.2,0,3.2,1,6.8,12,1,3,2.5,14.5,6.4,0.2,2.6,2.6,5.8,9.8,0.8,4.8,0,9,104475,Jor. 2,Recoletas Salud San Pablo Burgos,https://static.acb.com/img/www/clubes2025/2526SanPabloLogo.png,#00669E,https://www.acb.com/club/plantilla/id/549,https://raw.githubusercontent.com/IvoVillanueva/acbLogosCuadrados/6619f59f8ffb70434097d865e0aab02d1aa0fc2c/BUR.svg,Surne Bilbao Basket,https://static.acb.com/img/www/clubes2022/logo_surnebb_pos.png,#000000,https://www.acb.com/club/plantilla/id/4,https://raw.githubusercontent.com/IvoVillanueva/acbLogosCuadrados/6619f59f8ffb70434097d865e0aab02d1aa0fc2c/SBB.png
CAZ,Todos,Todas,13,1,1,4,13,6,1,3,1,8,8,0,4,1,7,8,1,1,3,7,8,1,3,1,8,7,0,5,1,9,NA,Jor. NA,Casademont Zaragoza,https://static.acb.com/img/www/clubes2024/2425CasademontZaragoza.png,#C8102E,https://www.acb.com/club/plantilla/id/16,https://raw.githubusercontent.com/IvoVillanueva/acbLogosCuadrados/6619f59f8ffb70434097d865e0aab02d1aa0fc2c/CAZ.png,NA,NA,NA,NA,NA
CAZ,Todos,Todas Local,16,2,1,4,14,6,1,3,2,7,9,0,5,1,10,5,0,1,3,6,9,1,4,1,8,7,0,4,1,8,NA,Jor. NA,Casademont Zaragoza,https://static.acb.com/img/www/clubes2024/2425CasademontZaragoza.png,#C8102E,https://www.acb.com/club/plantilla/id/16,https://raw.githubusercontent.com/IvoVillanueva/acbLogosCuadrados/6619f59f8ffb70434097d865e0aab02d1aa0fc2c/CAZ.png,NA,NA,NA,NA,NA
CAZ,Todos,Todas  Visitante,10,0,1,4,12,6,1,3,1,8,6,0,4,1,5,10,1,1,3,7,7,1,2,1,8,7,0,6,1,10,NA,Jor. NA,Casademont Zaragoza,https://static.acb.com/img/www/clubes2024/2425CasademontZaragoza.png,#C8102E,https://www.acb.com/club/plantilla/id/16,https://raw.githubusercontent.com/IvoVillanueva/acbLogosCuadrados/6619f59f8ffb70434097d865e0aab02d1aa0fc2c/CAZ.png,NA,NA,NA,NA,NA
CAZ,BKN,Local,15.5,1.5,1,4.5,14.5,5.6,0.7,2.6,1.6,7.3,9.2,0,5.2,1,10,4.7,0,1.3,2.7,6.3,9.2,0.6,3.8,0.6,7.6,7,0.2,4,1,7.8,104465,Jor. 1,Casademont Zaragoza,https://static.acb.com/img/www/clubes2024/2425CasademontZaragoza.png,#C8102E,https://www.acb.com/club/plantilla/id/16,https://raw.githubusercontent.com/IvoVillanueva/acbLogosCuadrados/6619f59f8ffb70434097d865e0aab02d1aa0fc2c/CAZ.png,Baskonia,https://static.acb.com/logos/1718/baskonia_00.png,#C8102E,https://www.acb.com/club/plantilla/id/3,https://raw.githubusercontent.com/IvoVillanueva/acbLogosCuadrados/6619f59f8ffb70434097d865e0aab02d1aa0fc2c/BKN.png
CAZ,JOV,Visitante,10,0.5,1,4.5,11.5,6.1,1,3,0.9,7.9,5.8,0.2,3.5,1,4.8,10.3,1.3,0.7,3,7,7.2,0.8,2.2,1.2,7.5,7.2,0,5.8,1,10,104472,Jor. 2,Casademont Zaragoza,https://static.acb.com/img/www/clubes2024/2425CasademontZaragoza.png,#C8102E,https://www.acb.com/club/plantilla/id/16,https://raw.githubusercontent.com/IvoVillanueva/acbLogosCuadrados/6619f59f8ffb70434097d865e0aab02d1aa0fc2c/CAZ.png,Joventut Badalona,https://static.acb.com/img/e/53/16/1453195579.png,#2F8E62,https://www.acb.com/club/plantilla/id/8,https://raw.githubusercontent.com/IvoVillanueva/acbLogosCuadrados/6619f59f8ffb70434097d865e0aab02d1aa0fc2c/JOV.png
COV,Todos,Todas,6,0,1,2,0,5,1,2,1,3,6,0,5,0,9,7,0,2,3,10,7,1,2,1,6,8,0,5,1,10,NA,Jor. NA,Coviran Granada,https://static.acb.com/img/www/clubes2024/2425CoviranGranadapositivo.png,#C2213C,https://www.acb.com/club/plantilla/id/592,https://raw.githubusercontent.com/IvoVillanueva/acbLogosCuadrados/6619f59f8ffb70434097d865e0aab02d1aa0fc2c/COV.png,NA,NA,NA,NA,NA
COV,Todos,Todas Local,9,0,0,1,2,5,1,1,2,3,6,0,5,0,9,8,1,1,3,11,5,0,2,1,5,11,0,6,1,13,NA,Jor. NA,Coviran Granada,https://static.acb.com/img/www/clubes2024/2425CoviranGranadapositivo.png,#C2213C,https://www.acb.com/club/plantilla/id/592,https://raw.githubusercontent.com/IvoVillanueva/acbLogosCuadrados/6619f59f8ffb70434097d865e0aab02d1aa0fc2c/COV.png,NA,NA,NA,NA,NA
COV,Todos,Todas  Visitante,4,0,1,2,-2,5,1,3,1,4,7,0,6,0,8,6,0,2,4,8,8,1,3,0,7,6,1,4,1,8,NA,Jor. NA,Coviran Granada,https://static.acb.com/img/www/clubes2024/2425CoviranGranadapositivo.png,#C2213C,https://www.acb.com/club/plantilla/id/592,https://raw.githubusercontent.com/IvoVillanueva/acbLogosCuadrados/6619f59f8ffb70434097d865e0aab02d1aa0fc2c/COV.png,NA,NA,NA,NA,NA
COV,JOV,Local,9,0,0.5,1,2.5,5,0.8,1.4,1.8,2.6,6.4,0,4.6,0.2,9.4,7.7,0.7,1.3,2.7,11,5.2,0.2,1.8,1.2,4.8,10.8,0.2,6.2,1.2,12.8,104463,Jor. 1,Coviran Granada,https://static.acb.com/img/www/clubes2024/2425CoviranGranadapositivo.png,#C2213C,https://www.acb.com/club/plantilla/id/592,https://raw.githubusercontent.com/IvoVillanueva/acbLogosCuadrados/6619f59f8ffb70434097d865e0aab02d1aa0fc2c/COV.png,Joventut Badalona,https://static.acb.com/img/e/53/16/1453195579.png,#2F8E62,https://www.acb.com/club/plantilla/id/8,https://raw.githubusercontent.com/IvoVillanueva/acbLogosCuadrados/6619f59f8ffb70434097d865e0aab02d1aa0fc2c/JOV.png
COV,BAX,Visitante,4,0.5,1,2,-2,5.4,0.8,3,0.8,3.6,6.6,0.2,5.8,0.4,8,6,0.3,1.7,4,8.3,8.5,1,2.8,0.2,7,6.2,0.6,4,1.2,7.8,104471,Jor. 2,Coviran Granada,https://static.acb.com/img/www/clubes2024/2425CoviranGranadapositivo.png,#C2213C,https://www.acb.com/club/plantilla/id/592,https://raw.githubusercontent.com/IvoVillanueva/acbLogosCuadrados/6619f59f8ffb70434097d865e0aab02d1aa0fc2c/COV.png,BAXI Manresa,https://static.acb.com/img/31/9/2f/75632.png,#D5001E,https://www.acb.com/club/plantilla/id/10,https://raw.githubusercontent.com/IvoVillanueva/acbLogosCuadrados/6619f59f8ffb70434097d865e0aab02d1aa0fc2c/BAX.png
DGC,Todos,Todas,7,2,2,4,9,6,0,3,2,5,7,1,3,0,7,6,1,2,4,7,6,1,2,2,5,7,1,3,1,9,NA,Jor. NA,Dreamland Gran Canaria,https://static.acb.com/img/2/58/5b/75611.png,#FFB718,https://www.acb.com/club/plantilla/id/5,https://raw.githubusercontent.com/IvoVillanueva/acbLogosCuadrados/6619f59f8ffb70434097d865e0aab02d1aa0fc2c/DGC.png,NA,NA,NA,NA,NA
DGC,Todos,Todas Local,4,1,2,4,8,7,0,2,2,6,7,1,4,1,7,6,1,2,2,6,5,0,1,2,3,8,1,3,1,10,NA,Jor. NA,Dreamland Gran Canaria,https://static.acb.com/img/2/58/5b/75611.png,#FFB718,https://www.acb.com/club/plantilla/id/5,https://raw.githubusercontent.com/IvoVillanueva/acbLogosCuadrados/6619f59f8ffb70434097d865e0aab02d1aa0fc2c/DGC.png,NA,NA,NA,NA,NA
DGC,Todos,Todas  Visitante,10,2,2,2,10,4,0,4,3,5,7,1,2,0,7,6,1,2,5,7,8,2,2,1,7,6,1,3,1,7,NA,Jor. NA,Dreamland Gran Canaria,https://static.acb.com/img/2/58/5b/75611.png,#FFB718,https://www.acb.com/club/plantilla/id/5,https://raw.githubusercontent.com/IvoVillanueva/acbLogosCuadrados/6619f59f8ffb70434097d865e0aab02d1aa0fc2c/DGC.png,NA,NA,NA,NA,NA
DGC,RMB,Visitante,9.5,2,1.5,2.5,9.5,4.5,0.2,3.5,2.8,5.2,6.8,0.8,2.4,0,7.2,6.5,1,1.5,5,7,7.8,1.6,2.2,1.4,7.2,5.8,0.8,2.6,1,7,104464,Jor. 1,Dreamland Gran Canaria,https://static.acb.com/img/2/58/5b/75611.png,#FFB718,https://www.acb.com/club/plantilla/id/5,https://raw.githubusercontent.com/IvoVillanueva/acbLogosCuadrados/6619f59f8ffb70434097d865e0aab02d1aa0fc2c/DGC.png,Real Madrid,https://static.acb.com/img/www/clubes2024/2324RealMadrid_Logoweb.png,#FFFFFF,https://www.acb.com/club/plantilla/id/9,https://raw.githubusercontent.com/IvoVillanueva/acbLogosCuadrados/6619f59f8ffb70434097d865e0aab02d1aa0fc2c/RMB.png
DGC,UNI,Local,4.5,1,2.5,4.5,8,7.2,0.5,2.5,1.8,5.5,6.8,1.2,3.6,0.6,7.4,5.7,0.7,2,2,6.3,5,0.3,1,1.7,3,8.2,1,3.3,1,10.2,104470,Jor. 2,Dreamland Gran Canaria,https://static.acb.com/img/2/58/5b/75611.png,#FFB718,https://www.acb.com/club/plantilla/id/5,https://raw.githubusercontent.com/IvoVillanueva/acbLogosCuadrados/6619f59f8ffb70434097d865e0aab02d1aa0fc2c/DGC.png,Unicaja,https://static.acb.com/img/www/clubes2024/2324UnicajaLogo.png,#3D9C35,https://www.acb.com/club/plantilla/id/14,https://raw.githubusercontent.com/IvoVillanueva/acbLogosCuadrados/6619f59f8ffb70434097d865e0aab02d1aa0fc2c/UNI.png
GIR,Todos,Todas,4,0,1,3,3,10,1,3,1,9,4,0,4,1,5,10,2,3,2,10,9,1,4,1,10,6,0,3,0,6,NA,Jor. NA,Bàsquet Girona,https://static.acb.com/img/www/clubes2023/BASQUET-GIRONA-Logonegativo2223.png,#B32836,https://www.acb.com/club/plantilla/id/591,https://raw.githubusercontent.com/IvoVillanueva/acbLogosCuadrados/6619f59f8ffb70434097d865e0aab02d1aa0fc2c/GIR.png,NA,NA,NA,NA,NA
GIR,Todos,Todas Local,4,0,1,2,2,10,2,4,0,9,4,0,4,1,4,14,2,3,2,11,8,1,4,1,8,6,0,3,0,7,NA,Jor. NA,Bàsquet Girona,https://static.acb.com/img/www/clubes2023/BASQUET-GIRONA-Logonegativo2223.png,#B32836,https://www.acb.com/club/plantilla/id/591,https://raw.githubusercontent.com/IvoVillanueva/acbLogosCuadrados/6619f59f8ffb70434097d865e0aab02d1aa0fc2c/GIR.png,NA,NA,NA,NA,NA
GIR,Todos,Todas  Visitante,5,1,2,4,3,10,0,3,1,9,5,0,3,0,5,7,1,3,2,10,11,1,4,1,11,6,0,3,1,6,NA,Jor. NA,Bàsquet Girona,https://static.acb.com/img/www/clubes2023/BASQUET-GIRONA-Logonegativo2223.png,#B32836,https://www.acb.com/club/plantilla/id/591,https://raw.githubusercontent.com/IvoVillanueva/acbLogosCuadrados/6619f59f8ffb70434097d865e0aab02d1aa0fc2c/GIR.png,NA,NA,NA,NA,NA
