abb,rival,is_local,base_puntos,base_rebotes,base_asistencias,base_valoracion,base_puntos_encontra,base_rebotes_encontra,base_asistencias_encontra,base_valoracion_encontra,alero_puntos,alero_rebotes,alero_asistencias,alero_valoracion,alero_puntos_encontra,alero_rebotes_encontra,alero_asistencias_encontra,alero_valoracion_encontra,pivot_puntos,pivot_rebotes,pivot_asistencias,pivot_valoracion,pivot_puntos_encontra,pivot_rebotes_encontra,pivot_asistencias_encontra,pivot_valoracion_encontra
MBA,Todos Visitante,Todas Visitante,15,4,10,19,30,5,8,30,52,14,5,50,36,12,7,31,25,15,2,30,25,15,2,26
MBA,DGC,Local,18,6,6,18,22,5,7,25,44,11,1,29,30,7,6,31,9,17,0,7,39,18,6,52
MBA,BKN,Visitante,17,4,14,18,20,5,8,19,48,12,5,50,49,15,6,50,30,19,2,34,22,12,4,30
MBA,COR,Local,22,3,11,29,23,3,11,33,48,8,5,49,38,12,5,17,42,19,4,51,26,17,5,28
MBA,VBC,Visitante,21,4,10,26,31,7,6,32,49,9,4,44,28,8,6,23,18,16,3,26,30,26,6,35
MBA,COV,Local,16,3,15,25,11,4,5,11,42,7,3,26,30,13,7,16,29,19,3,59,30,14,4,30
MBA,HIO,Visitante,5,3,2,5,4,1,5,4,50,24,6,46,49,18,12,45,15,15,1,22,25,9,0,18
MBA,UCM,Local,13,2,5,7,10,4,5,10,42,10,3,22,56,12,11,62,16,16,2,36,17,12,3,17
MBA,UNI,Local,21,7,8,23,36,3,16,44,46,10,4,38,24,7,9,29,22,21,1,32,46,14,6,52
MBA,GIR,Visitante,18,6,14,27,46,6,9,44,52,11,3,40,21,12,7,10,28,15,2,37,18,16,0,28
MBA,CAZ,Local,15,6,8,25,12,8,14,26,44,5,5,26,39,7,3,36,20,13,2,21,39,22,4,48
MBA,BAX,Visitante,14,1,11,21,47,4,12,49,62,15,7,68,32,5,3,29,35,12,1,32,28,12,1,21
RMB,Todos,Todas,15,4,6,22,20,5,5,17,57,16,8,57,30,11,7,24,17,13,2,24,25,15,3,27
RMB,Todos Local,Todas Local,13,4,7,21,20,5,5,18,61,16,9,67,30,11,6,23,18,13,2,24,24,15,4,22
RMB,Todos Visitante,Todas Visitante,18,4,5,24,20,4,5,15,49,16,6,40,30,11,8,26,14,13,2,24,28,16,3,35
RMB,COR,Visitante,24,4,4,27,38,4,7,33,42,7,6,40,24,13,9,20,19,14,4,31,24,14,5,29
RMB,CAZ,Local,20,5,9,34,38,6,9,42,60,15,11,75,21,9,9,10,21,13,0,18,36,11,5,34
RMB,SBB,Visitante,16,2,8,29,16,6,4,18,60,24,9,46,36,9,8,30,3,10,0,4,31,18,3,41
RMB,GIR,Local,14,1,5,22,42,8,7,39,61,20,10,69,15,7,2,6,20,12,1,29,8,11,2,3
RMB,BAX,Local,3,2,1,4,13,8,5,1,65,17,11,67,25,14,5,23,18,19,5,37,23,15,1,8
RMB,UCM,Visitante,13,4,2,15,6,0,5,-1,53,20,4,47,32,10,9,25,19,16,3,40,26,12,1,25
RMB,DGC,Local,20,3,9,33,12,5,5,19,43,12,4,42,47,7,5,28,20,11,1,22,18,20,8,28
RMB,HIO,Local,13,6,5,18,2,1,1,6,55,15,7,59,52,10,12,42,17,13,3,17,20,14,2,25
RMB,JOV,Visitante,19,7,6,26,18,6,4,9,42,14,7,26,30,12,6,28,15,13,3,21,32,20,3,45
RMB,UNI,Local,15,6,9,19,18,5,3,13,66,13,8,60,25,15,8,38,9,9,4,11,34,19,4,33
RMB,BRE,Local,9,4,9,15,16,5,2,8,76,20,14,94,26,13,3,16,21,12,2,31,27,13,3,26
SBB,Todos,Todas,19,5,6,22,18,5,8,21,28,8,7,20,40,15,6,37,33,19,3,39,26,15,3,28
SBB,Todos Local,Todas Local,19,5,6,23,17,4,8,18,30,8,8,28,38,14,7,32,34,19,2,40,29,16,4,36
SBB,Todos Visitante,Todas Visitante,19,4,6,22,19,6,8,24,26,7,7,14,42,15,6,42,33,19,3,39,23,14,2,22
SBB,BRE,Local,22,2,9,26,17,4,6,15,28,16,7,39,28,11,5,13,40,21,3,45,27,13,4,23
SBB,UCM,Visitante,23,8,4,32,8,1,4,3,27,7,7,20,56,27,8,54,33,20,5,37,25,17,4,21
SBB,RMB,Local,16,6,4,18,16,2,8,29,36,9,8,30,60,24,9,46,31,18,3,41,3,10,0,4
SBB,DGC,Visitante,22,3,6,28,13,6,3,19,16,10,4,0,46,15,7,54,29,13,4,29,21,15,4,23
SBB,VBC,Local,17,5,4,20,28,8,9,29,44,4,12,44,35,14,6,34,37,17,4,43,40,20,4,45
SBB,COV,Visitante,22,6,7,33,14,0,11,23,29,9,8,19,36,9,4,28,33,17,4,41,22,12,3,14
SBB,GIR,Visitante,24,4,7,20,39,11,11,41,27,10,7,13,40,11,2,37,43,19,1,49,21,13,0,24
SBB,JOV,Local,25,3,4,28,11,0,8,8,26,6,7,16,45,14,11,52,28,19,1,34,39,19,8,54
SBB,CAZ,Visitante,6,2,6,7,28,9,8,38,32,5,8,19,27,13,4,24,33,19,1,33,27,21,2,36
