abb,rival,is_local,base_puntos,base_rebotes,base_asistencias,base_valoracion,base_puntos_encontra,base_rebotes_encontra,base_asistencias_encontra,base_valoracion_encontra,alero_puntos,alero_rebotes,alero_asistencias,alero_valoracion,alero_puntos_encontra,alero_rebotes_encontra,alero_asistencias_encontra,alero_valoracion_encontra,pivot_puntos,pivot_rebotes,pivot_asistencias,pivot_valoracion,pivot_puntos_encontra,pivot_rebotes_encontra,pivot_asistencias_encontra,pivot_valoracion_encontra
CAZ,UCM,Visitante,26,7,1,25,16,4,7,18,27,8,1,13,50,18,8,63,21,17,2,22,22,13,3,17
CAZ,COR,Visitante,15,2,9,14,23,5,14,33,34,7,10,28,33,12,6,36,39,15,4,42,54,20,13,76
CAZ,BRE,Local,12,1,6,13,12,3,5,4,43,15,15,68,11,8,3,-5,65,21,6,93,30,14,2,22
CAZ,VBC,Visitante,15,3,7,11,29,8,14,42,32,16,10,28,57,15,3,61,39,14,3,40,25,16,8,29
CAZ,BKN,Local,17,2,6,19,22,7,4,18,28,10,5,25,41,14,11,42,43,15,2,52,22,16,8,33
CAZ,SBB,Local,28,9,8,38,6,2,6,7,27,13,4,24,32,5,8,19,27,21,2,36,33,19,1,33
CAZ,MBA,Visitante,12,8,14,26,15,6,8,25,39,7,3,36,44,5,5,26,39,22,4,48,20,13,2,21
CAZ,BAR,Local,45,4,10,50,9,5,10,19,29,21,5,34,73,5,6,59,42,21,4,48,13,16,2,12
COR,Todos,Todas,19,4,10,21,20,5,8,23,31,11,4,25,40,12,8,40,35,19,7,45,31,12,4,35
COR,Todos Local,Todas Local,19,4,9,20,27,6,8,30,28,10,5,24,35,12,8,35,36,17,8,48,26,13,5,31
COR,Todos Visitante,Todas Visitante,20,4,11,22,14,4,7,18,34,11,4,25,44,12,8,45,34,20,6,42,35,11,3,38
COR,RMB,Local,38,4,7,33,24,4,4,27,24,13,9,20,42,7,6,40,24,14,5,29,19,14,4,31
COR,DGC,Visitante,14,4,13,21,10,7,6,17,25,11,4,15,35,11,8,40,33,23,1,39,35,11,3,32
COR,MBA,Visitante,23,3,11,33,22,3,11,29,38,12,5,17,48,8,5,49,26,17,5,28,42,19,4,51
COR,UNI,Local,6,6,14,10,23,1,8,24,35,11,6,35,42,13,10,41,42,18,9,56,25,16,3,32
COR,CAZ,Local,23,5,14,33,15,2,9,14,33,12,6,36,34,7,10,28,54,20,13,76,39,15,4,42
COR,BAR,Visitante,15,2,10,9,21,7,5,31,31,10,4,17,35,11,8,40,34,18,6,34,50,15,4,64
COR,LLT,Local,7,1,6,2,42,8,10,54,26,8,1,18,25,22,8,31,29,12,10,39,20,9,4,23
COR,COV,Visitante,19,1,9,11,6,3,9,11,30,10,1,19,38,13,7,33,28,22,6,54,36,9,2,40
COR,HIO,Visitante,21,6,15,31,4,1,4,9,43,12,5,38,64,14,13,64,42,19,6,52,31,5,3,20
COR,BAX,Local,23,4,5,23,31,13,8,32,21,8,2,13,30,12,4,36,30,23,4,38,28,13,8,25
COR,GIR,Visitante,25,5,9,29,21,3,9,8,35,10,6,42,46,13,7,42,38,19,9,47,14,5,0,23
COV,Todos,Todas,13,3,8,16,17,5,8,16,38,13,6,30,29,11,3,24,26,13,3,30,34,16,3,45
COV,Todos Local,Todas Local,11,3,9,15,17,4,8,17,38,11,6,33,28,12,4,24,26,12,3,28,34,17,4,46
COV,Todos Visitante,Todas Visitante,15,4,7,17,18,6,9,16,38,16,6,27,29,10,2,25,26,15,3,32,32,14,3,44
COV,BAR,Visitante,24,6,7,28,13,12,11,21,23,14,5,2,39,7,4,44,18,10,1,16,39,10,3,51
COV,UNI,Local,11,5,11,19,21,2,9,25,38,12,1,26,21,15,8,25,19,6,2,15,42,21,5,47
COV,GIR,Visitante,11,6,8,22,19,6,7,2,44,25,5,48,12,11,0,10,27,17,4,36,21,12,3,20
COV,LLT,Local,8,2,11,11,10,1,10,2,42,8,4,35,38,11,3,45,25,10,2,24,35,12,1,44
COV,MBA,Visitante,11,4,5,11,16,3,15,25,30,13,7,16,42,7,3,26,30,14,4,30,29,19,3,59
COV,SBB,Local,14,0,11,23,22,6,7,33,36,9,4,28,29,9,8,19,22,12,3,14,33,17,4,41
COV,BAX,Visitante,18,2,8,12,23,8,7,14,42,13,3,22,28,16,1,29,26,13,3,33,42,17,2,56
COV,COR,Local,6,3,9,11,19,1,9,11,38,13,7,33,30,10,1,19,36,9,2,40,28,22,6,54
COV,BRE,Visitante,11,1,8,12,17,2,6,16,50,15,9,49,26,11,2,14,31,19,3,45,31,13,6,35
COV,JOV,Local,19,4,4,22,14,4,4,13,44,15,8,46,23,13,2,9,24,18,5,27,40,16,4,51
COV,BKN,Local,10,2,7,5,18,7,8,18,33,11,9,29,28,12,4,24,30,17,2,45,29,16,1,37
DGC,Todos,Todas,13,4,5,17,23,5,7,28,37,11,7,36,29,9,4,20,31,16,4,34,25,17,3,31
DGC,Todos Local,Todas Local,13,4,5,17,23,6,7,30,38,12,10,41,29,10,5,19,32,14,2,34,26,17,3,30
DGC,Todos Visitante,Todas Visitante,14,4,5,16,24,4,8,27,36,10,5,31,29,8,4,21,30,18,5,34,25,16,2,32
DGC,MBA,Visitante,22,5,7,25,18,6,6,18,30,7,6,31,44,11,1,29,39,18,6,52,9,17,0,7
DGC,COR,Local,10,7,6,17,14,4,13,21,35,11,8,40,25,11,4,15,35,11,3,32,33,23,1,39
DGC,BAX,Visitante,7,3,4,9,23,8,6,21,28,14,3,20,16,6,2,2,23,21,4,22,40,24,5,57
DGC,SBB,Local,13,6,3,19,22,3,6,28,46,15,7,54,16,10,4,0,21,15,4,23,29,13,4,29
DGC,LLT,Visitante,15,3,7,15,26,2,16,34,29,10,3,26,22,6,2,20,30,15,2,32,34,17,3,47
DGC,BKN,Local,8,4,11,11,21,6,1,21,38,12,13,42,42,9,6,36,46,19,1,53,23,17,5,35
DGC,RMB,Visitante,12,5,5,19,20,3,9,33,47,7,5,28,43,12,4,42,18,20,8,28,20,11,1,22
DGC,GIR,Local,21,3,4,26,35,10,8,42,42,12,14,49,38,12,7,38,26,10,2,20,11,9,1,12
DGC,UCM,Visitante,9,7,6,9,6,0,1,2,45,14,4,55,27,7,8,22,29,16,4,22,30,15,3,40
DGC,BRE,Local,11,2,3,14,24,6,6,36,28,8,9,20,24,7,4,8,34,16,2,43,34,21,5,35
DGC,UNI,Visitante,18,4,2,22,49,6,9,55,35,8,10,27,23,9,4,10,41,19,7,49,16,15,3,18
GIR,Todos,Todas,34,6,9,28,21,4,9,25,26,11,4,22,36,13,7,35,17,11,1,19,32,17,4,41
GIR,Todos Local,Todas Local,32,6,10,26,20,5,8,22,29,12,4,23,36,12,6,30,19,12,0,24,34,20,4,43
GIR,Todos Visitante,Todas Visitante,35,6,8,31,23,3,9,28,23,10,4,21,37,14,7,40,15,11,1,14,31,14,4,38
GIR,UNI,Visitante,43,7,7,37,31,4,10,34,13,8,1,11,28,7,3,17,17,12,2,10,31,18,8,48
GIR,BAX,Local,36,6,15,44,18,4,6,3,27,17,2,20,24,8,6,24,21,15,0,23,38,27,4,56
GIR,COV,Local,19,6,7,2,11,6,8,22,12,11,0,10,44,25,5,48,21,12,3,20,27,17,4,36
GIR,RMB,Visitante,42,8,7,39,14,1,5,22,15,7,2,6,61,20,10,69,8,11,2,3,20,12,1,29
GIR,UCM,Local,31,5,7,18,23,4,5,31,26,11,3,21,31,6,8,16,18,11,0,24,28,20,1,32
GIR,JOV,Visitante,21,2,6,11,12,3,10,10,24,10,5,30,29,20,8,38,23,8,0,16,42,11,5,50
GIR,SBB,Local,39,11,11,41,24,4,7,20,40,11,2,37,27,10,7,13,21,13,0,24,43,19,1,49
