abb,rival,is_local,jornada,base_puntos,base_x3pt,base_rebotes,base_asistencias,base_valoracion,alero_puntos,alero_x3pt,alero_rebotes,alero_asistencias,alero_valoracion,pivot_puntos,pivot_x3pt,pivot_rebotes,pivot_asistencias,pivot_valoracion,base_puntos_encontra,base_x3pt_encontra,base_rebotes_encontra,base_asistencias_encontra,base_valoracion_encontra,alero_puntos_encontra,alero_x3pt_encontra,alero_rebotes_encontra,alero_asistencias_encontra,alero_valoracion_encontra,pivot_puntos_encontra,pivot_x3pt_encontra,pivot_rebotes_encontra,pivot_asistencias_encontra,pivot_valoracion_encontra,id_match,equipo.x,logo.x,color,url.x,logo_cuadrado,equipo.y,logo.y,color_rival,logo_rival
BKN,COV,Visitante,Jor. 3,21,1,4,8,24,39,6,15,3,32,23,3,10,5,28,11,3,2,5,7,32,4,6,3,25,37,0,17,4,48,104484,Baskonia,https://static.acb.com/logos/1718/baskonia_00.png,#C8102E,https://www.acb.com/club/plantilla/id/3,https://raw.githubusercontent.com/IvoVillanueva/acbLogosCuadrados/6619f59f8ffb70434097d865e0aab02d1aa0fc2c/BKN.png,Coviran Granada,https://static.acb.com/img/www/clubes2024/2425CoviranGranadapositivo.png,#C2213C,https://raw.githubusercontent.com/IvoVillanueva/acbLogosCuadrados/6619f59f8ffb70434097d865e0aab02d1aa0fc2c/COV.png
BRE,Todos,Todas,Jor. NA,16,1,4,9,17,40,7,9,3,31,26,3,17,5,27,14,2,6,9,19,47,7,16,12,47,34,2,18,3,45,NA,Río Breogán,https://static.acb.com/logos/1718/breogan_00.png,#85ADEA,https://www.acb.com/club/plantilla/id/25,https://raw.githubusercontent.com/IvoVillanueva/acbLogosCuadrados/6619f59f8ffb70434097d865e0aab02d1aa0fc2c/BRE.png,NA,NA,NA,NA
BRE,Todos,Todas Local,Jor. NA,17,1,6,10,20,51,11,6,2,35,22,3,17,5,24,24,3,8,14,36,41,9,12,9,38,48,7,18,5,57,NA,Río Breogán,https://static.acb.com/logos/1718/breogan_00.png,#85ADEA,https://www.acb.com/club/plantilla/id/25,https://raw.githubusercontent.com/IvoVillanueva/acbLogosCuadrados/6619f59f8ffb70434097d865e0aab02d1aa0fc2c/BRE.png,NA,NA,NA,NA
BRE,Todos,Todas  Visitante,Jor. NA,15,0,2,9,15,34,6,11,4,28,28,2,18,5,28,9,1,6,6,11,50,6,18,14,51,27,0,18,2,38,NA,Río Breogán,https://static.acb.com/logos/1718/breogan_00.png,#85ADEA,https://www.acb.com/club/plantilla/id/25,https://raw.githubusercontent.com/IvoVillanueva/acbLogosCuadrados/6619f59f8ffb70434097d865e0aab02d1aa0fc2c/BRE.png,NA,NA,NA,NA
BRE,HIO,Visitante,Jor. 1,7,0,3,8,10,38,7,8,1,21,23,1,17,8,25,7,1,5,5,12,55,7,25,21,61,25,0,17,1,37,104462,Río Breogán,https://static.acb.com/logos/1718/breogan_00.png,#85ADEA,https://www.acb.com/club/plantilla/id/25,https://raw.githubusercontent.com/IvoVillanueva/acbLogosCuadrados/6619f59f8ffb70434097d865e0aab02d1aa0fc2c/BRE.png,Hiopos Lleida,https://static.acb.com/img/www/clubes2024/2425HioposLleida_positivo.png,#AB1254,https://raw.githubusercontent.com/IvoVillanueva/acbLogosCuadrados/6619f59f8ffb70434097d865e0aab02d1aa0fc2c/HIO.png
BRE,VBC,Local,Jor. 2,17,1,6,10,20,51,11,6,2,35,22,3,17,5,24,24,3,8,14,36,41,9,12,9,38,48,7,18,5,57,104474,Río Breogán,https://static.acb.com/logos/1718/breogan_00.png,#85ADEA,https://www.acb.com/club/plantilla/id/25,https://raw.githubusercontent.com/IvoVillanueva/acbLogosCuadrados/6619f59f8ffb70434097d865e0aab02d1aa0fc2c/BRE.png,Valencia Basket,https://static.acb.com/img/23/2/25/1654748673.png,#FC6C0F,https://raw.githubusercontent.com/IvoVillanueva/acbLogosCuadrados/6619f59f8ffb70434097d865e0aab02d1aa0fc2c/VBC.png
BRE,CAZ,Visitante,Jor. 3,23,1,2,10,20,31,4,14,7,36,34,4,18,2,32,11,1,6,7,10,44,4,10,6,41,29,0,19,3,40,104479,Río Breogán,https://static.acb.com/logos/1718/breogan_00.png,#85ADEA,https://www.acb.com/club/plantilla/id/25,https://raw.githubusercontent.com/IvoVillanueva/acbLogosCuadrados/6619f59f8ffb70434097d865e0aab02d1aa0fc2c/BRE.png,Casademont Zaragoza,https://static.acb.com/img/www/clubes2024/2425CasademontZaragoza.png,#C8102E,https://raw.githubusercontent.com/IvoVillanueva/acbLogosCuadrados/6619f59f8ffb70434097d865e0aab02d1aa0fc2c/CAZ.png
BUR,Todos,Todas,Jor. NA,12,1,4,3,14,45,4,18,11,45,31,1,14,3,29,20,2,5,9,16,41,3,13,9,42,27,1,16,2,31,NA,Recoletas Salud San Pablo Burgos,https://static.acb.com/img/www/clubes2025/2526SanPabloLogo.png,#00669E,https://www.acb.com/club/plantilla/id/549,https://raw.githubusercontent.com/IvoVillanueva/acbLogosCuadrados/6619f59f8ffb70434097d865e0aab02d1aa0fc2c/BUR.svg,NA,NA,NA,NA
BUR,Todos,Todas Local,Jor. NA,20,3,8,5,29,55,5,21,7,57,22,0,12,3,23,21,3,7,16,13,39,2,12,5,36,19,0,12,2,21,NA,Recoletas Salud San Pablo Burgos,https://static.acb.com/img/www/clubes2025/2526SanPabloLogo.png,#00669E,https://www.acb.com/club/plantilla/id/549,https://raw.githubusercontent.com/IvoVillanueva/acbLogosCuadrados/6619f59f8ffb70434097d865e0aab02d1aa0fc2c/BUR.svg,NA,NA,NA,NA
BUR,Todos,Todas  Visitante,Jor. NA,8,0,2,2,6,40,4,17,12,39,36,1,14,3,32,20,2,4,5,18,42,4,14,11,44,32,2,18,2,36,NA,Recoletas Salud San Pablo Burgos,https://static.acb.com/img/www/clubes2025/2526SanPabloLogo.png,#00669E,https://www.acb.com/club/plantilla/id/549,https://raw.githubusercontent.com/IvoVillanueva/acbLogosCuadrados/6619f59f8ffb70434097d865e0aab02d1aa0fc2c/BUR.svg,NA,NA,NA,NA
BUR,GIR,Local,Jor. 1,20,3,8,5,29,55,5,21,7,57,22,0,12,3,23,21,3,7,16,13,39,2,12,5,36,19,0,12,2,21,104460,Recoletas Salud San Pablo Burgos,https://static.acb.com/img/www/clubes2025/2526SanPabloLogo.png,#00669E,https://www.acb.com/club/plantilla/id/549,https://raw.githubusercontent.com/IvoVillanueva/acbLogosCuadrados/6619f59f8ffb70434097d865e0aab02d1aa0fc2c/BUR.svg,Bàsquet Girona,https://static.acb.com/img/www/clubes2023/BASQUET-GIRONA-Logonegativo2223.png,#B32836,https://raw.githubusercontent.com/IvoVillanueva/acbLogosCuadrados/6619f59f8ffb70434097d865e0aab02d1aa0fc2c/GIR.png
BUR,SBB,Visitante,Jor. 2,6,1,2,2,3,54,5,18,12,43,25,0,13,4,27,24,2,6,5,29,32,1,13,13,29,39,3,19,0,36,104475,Recoletas Salud San Pablo Burgos,https://static.acb.com/img/www/clubes2025/2526SanPabloLogo.png,#00669E,https://www.acb.com/club/plantilla/id/549,https://raw.githubusercontent.com/IvoVillanueva/acbLogosCuadrados/6619f59f8ffb70434097d865e0aab02d1aa0fc2c/BUR.svg,Surne Bilbao Basket,https://static.acb.com/img/www/clubes2022/logo_surnebb_pos.png,#000000,https://raw.githubusercontent.com/IvoVillanueva/acbLogosCuadrados/6619f59f8ffb70434097d865e0aab02d1aa0fc2c/SBB.png
BUR,RMB,Visitante,Jor. 3,9,0,3,3,10,25,3,16,13,35,46,2,16,2,36,15,1,1,5,6,51,7,14,9,60,24,0,18,3,37,104482,Recoletas Salud San Pablo Burgos,https://static.acb.com/img/www/clubes2025/2526SanPabloLogo.png,#00669E,https://www.acb.com/club/plantilla/id/549,https://raw.githubusercontent.com/IvoVillanueva/acbLogosCuadrados/6619f59f8ffb70434097d865e0aab02d1aa0fc2c/BUR.svg,Real Madrid,https://static.acb.com/img/www/clubes2024/2324RealMadrid_Logoweb.png,#FFFFFF,https://raw.githubusercontent.com/IvoVillanueva/acbLogosCuadrados/6619f59f8ffb70434097d865e0aab02d1aa0fc2c/RMB.png
CAZ,Todos,Todas,Jor. NA,21,2,3,8,21,42,5,16,8,49,30,0,18,4,33,23,2,3,9,20,35,3,14,5,35,30,2,19,3,34,NA,Casademont Zaragoza,https://static.acb.com/img/www/clubes2024/2425CasademontZaragoza.png,#C8102E,https://www.acb.com/club/plantilla/id/16,https://raw.githubusercontent.com/IvoVillanueva/acbLogosCuadrados/6619f59f8ffb70434097d865e0aab02d1aa0fc2c/CAZ.png,NA,NA,NA,NA
CAZ,Todos,Todas Local,Jor. NA,21,2,4,8,20,42,4,14,8,46,33,0,20,4,40,18,0,3,9,20,38,4,16,5,37,31,2,17,3,32,NA,Casademont Zaragoza,https://static.acb.com/img/www/clubes2024/2425CasademontZaragoza.png,#C8102E,https://www.acb.com/club/plantilla/id/16,https://raw.githubusercontent.com/IvoVillanueva/acbLogosCuadrados/6619f59f8ffb70434097d865e0aab02d1aa0fc2c/CAZ.png,NA,NA,NA,NA
CAZ,Todos,Todas  Visitante,Jor. NA,20,1,2,9,23,43,7,21,6,55,23,1,14,4,19,31,4,2,9,21,29,3,9,5,30,29,0,23,4,40,NA,Casademont Zaragoza,https://static.acb.com/img/www/clubes2024/2425CasademontZaragoza.png,#C8102E,https://www.acb.com/club/plantilla/id/16,https://raw.githubusercontent.com/IvoVillanueva/acbLogosCuadrados/6619f59f8ffb70434097d865e0aab02d1aa0fc2c/CAZ.png,NA,NA,NA,NA
CAZ,BKN,Local,Jor. 1,31,3,2,9,29,39,5,18,11,51,37,0,21,4,40,14,0,4,8,19,46,3,19,3,38,28,1,16,4,31,104465,Casademont Zaragoza,https://static.acb.com/img/www/clubes2024/2425CasademontZaragoza.png,#C8102E,https://www.acb.com/club/plantilla/id/16,https://raw.githubusercontent.com/IvoVillanueva/acbLogosCuadrados/6619f59f8ffb70434097d865e0aab02d1aa0fc2c/CAZ.png,Baskonia,https://static.acb.com/logos/1718/baskonia_00.png,#C8102E,https://raw.githubusercontent.com/IvoVillanueva/acbLogosCuadrados/6619f59f8ffb70434097d865e0aab02d1aa0fc2c/BKN.png
CAZ,JOV,Visitante,Jor. 2,20,1,2,9,23,43,7,21,6,55,23,1,14,4,19,31,4,2,9,21,29,3,9,5,30,29,0,23,4,40,104472,Casademont Zaragoza,https://static.acb.com/img/www/clubes2024/2425CasademontZaragoza.png,#C8102E,https://www.acb.com/club/plantilla/id/16,https://raw.githubusercontent.com/IvoVillanueva/acbLogosCuadrados/6619f59f8ffb70434097d865e0aab02d1aa0fc2c/CAZ.png,Joventut Badalona,https://static.acb.com/img/e/53/16/1453195579.png,#2F8E62,https://raw.githubusercontent.com/IvoVillanueva/acbLogosCuadrados/6619f59f8ffb70434097d865e0aab02d1aa0fc2c/JOV.png
CAZ,BRE,Local,Jor. 3,11,1,6,7,10,44,4,10,6,41,29,0,19,3,40,23,1,2,10,20,31,4,14,7,36,34,4,18,2,32,104479,Casademont Zaragoza,https://static.acb.com/img/www/clubes2024/2425CasademontZaragoza.png,#C8102E,https://www.acb.com/club/plantilla/id/16,https://raw.githubusercontent.com/IvoVillanueva/acbLogosCuadrados/6619f59f8ffb70434097d865e0aab02d1aa0fc2c/CAZ.png,Río Breogán,https://static.acb.com/logos/1718/breogan_00.png,#85ADEA,https://raw.githubusercontent.com/IvoVillanueva/acbLogosCuadrados/6619f59f8ffb70434097d865e0aab02d1aa0fc2c/BRE.png
COV,Todos,Todas,Jor. NA,12,1,2,4,3,28,4,9,5,19,34,0,23,2,45,21,1,4,9,27,31,4,11,3,26,32,2,18,5,39,NA,Coviran Granada,https://static.acb.com/img/www/clubes2024/2425CoviranGranadapositivo.png,#C2213C,https://www.acb.com/club/plantilla/id/592,https://raw.githubusercontent.com/IvoVillanueva/acbLogosCuadrados/6619f59f8ffb70434097d865e0aab02d1aa0fc2c/COV.png,NA,NA,NA,NA
COV,Todos,Todas Local,Jor. NA,14,2,2,4,6,28,4,6,6,19,34,0,20,2,48,22,2,4,8,28,30,4,11,4,26,33,2,18,5,40,NA,Coviran Granada,https://static.acb.com/img/www/clubes2024/2425CoviranGranadapositivo.png,#C2213C,https://www.acb.com/club/plantilla/id/592,https://raw.githubusercontent.com/IvoVillanueva/acbLogosCuadrados/6619f59f8ffb70434097d865e0aab02d1aa0fc2c/COV.png,NA,NA,NA,NA
COV,Todos,Todas  Visitante,Jor. NA,8,1,2,4,-4,27,4,15,4,18,33,1,29,2,40,18,1,5,12,25,34,4,11,1,28,31,3,20,6,39,NA,Coviran Granada,https://static.acb.com/img/www/clubes2024/2425CoviranGranadapositivo.png,#C2213C,https://www.acb.com/club/plantilla/id/592,https://raw.githubusercontent.com/IvoVillanueva/acbLogosCuadrados/6619f59f8ffb70434097d865e0aab02d1aa0fc2c/COV.png,NA,NA,NA,NA
COV,JOV,Local,Jor. 1,18,0,1,2,5,25,4,7,9,13,32,0,23,1,47,23,2,4,8,33,21,1,7,5,19,43,1,25,5,51,104463,Coviran Granada,https://static.acb.com/img/www/clubes2024/2425CoviranGranadapositivo.png,#C2213C,https://www.acb.com/club/plantilla/id/592,https://raw.githubusercontent.com/IvoVillanueva/acbLogosCuadrados/6619f59f8ffb70434097d865e0aab02d1aa0fc2c/COV.png,Joventut Badalona,https://static.acb.com/img/e/53/16/1453195579.png,#2F8E62,https://raw.githubusercontent.com/IvoVillanueva/acbLogosCuadrados/6619f59f8ffb70434097d865e0aab02d1aa0fc2c/JOV.png
COV,BAX,Visitante,Jor. 2,8,1,2,4,-4,27,4,15,4,18,33,1,29,2,40,18,1,5,12,25,34,4,11,1,28,31,3,20,6,39,104471,Coviran Granada,https://static.acb.com/img/www/clubes2024/2425CoviranGranadapositivo.png,#C2213C,https://www.acb.com/club/plantilla/id/592,https://raw.githubusercontent.com/IvoVillanueva/acbLogosCuadrados/6619f59f8ffb70434097d865e0aab02d1aa0fc2c/COV.png,BAXI Manresa,https://static.acb.com/img/31/9/2f/75632.png,#D5001E,https://raw.githubusercontent.com/IvoVillanueva/acbLogosCuadrados/6619f59f8ffb70434097d865e0aab02d1aa0fc2c/BAX.png
COV,BKN,Local,Jor. 3,11,3,2,5,7,32,4,6,3,25,37,0,17,4,48,21,1,4,8,24,39,6,15,3,32,23,3,10,5,28,104484,Coviran Granada,https://static.acb.com/img/www/clubes2024/2425CoviranGranadapositivo.png,#C2213C,https://www.acb.com/club/plantilla/id/592,https://raw.githubusercontent.com/IvoVillanueva/acbLogosCuadrados/6619f59f8ffb70434097d865e0aab02d1aa0fc2c/COV.png,Baskonia,https://static.acb.com/logos/1718/baskonia_00.png,#C8102E,https://raw.githubusercontent.com/IvoVillanueva/acbLogosCuadrados/6619f59f8ffb70434097d865e0aab02d1aa0fc2c/BKN.png
DGC,Todos,Todas,Jor. NA,13,3,3,7,14,30,2,12,8,31,33,5,15,3,37,18,3,6,8,16,27,4,7,5,23,35,4,15,5,42,NA,Dreamland Gran Canaria,https://static.acb.com/img/2/58/5b/75611.png,#FFB718,https://www.acb.com/club/plantilla/id/5,https://raw.githubusercontent.com/IvoVillanueva/acbLogosCuadrados/6619f59f8ffb70434097d865e0aab02d1aa0fc2c/DGC.png,NA,NA,NA,NA
DGC,Todos,Todas Local,Jor. NA,9,2,5,9,16,29,2,10,7,22,34,6,18,3,37,17,2,6,6,19,15,1,3,5,9,49,6,20,6,61,NA,Dreamland Gran Canaria,https://static.acb.com/img/2/58/5b/75611.png,#FFB718,https://www.acb.com/club/plantilla/id/5,https://raw.githubusercontent.com/IvoVillanueva/acbLogosCuadrados/6619f59f8ffb70434097d865e0aab02d1aa0fc2c/DGC.png,NA,NA,NA,NA
DGC,Todos,Todas  Visitante,Jor. NA,16,4,2,6,13,31,2,13,8,36,32,4,14,2,38,18,4,6,10,14,34,6,9,4,30,28,4,12,4,32,NA,Dreamland Gran Canaria,https://static.acb.com/img/2/58/5b/75611.png,#FFB718,https://www.acb.com/club/plantilla/id/5,https://raw.githubusercontent.com/IvoVillanueva/acbLogosCuadrados/6619f59f8ffb70434097d865e0aab02d1aa0fc2c/DGC.png,NA,NA,NA,NA
DGC,RMB,Visitante,Jor. 1,19,4,3,5,19,18,1,14,11,21,34,4,12,0,36,13,2,3,10,14,39,8,11,7,36,29,4,13,5,35,104464,Dreamland Gran Canaria,https://static.acb.com/img/2/58/5b/75611.png,#FFB718,https://www.acb.com/club/plantilla/id/5,https://raw.githubusercontent.com/IvoVillanueva/acbLogosCuadrados/6619f59f8ffb70434097d865e0aab02d1aa0fc2c/DGC.png,Real Madrid,https://static.acb.com/img/www/clubes2024/2324RealMadrid_Logoweb.png,#FFFFFF,https://raw.githubusercontent.com/IvoVillanueva/acbLogosCuadrados/6619f59f8ffb70434097d865e0aab02d1aa0fc2c/RMB.png
DGC,UNI,Local,Jor. 2,9,2,5,9,16,29,2,10,7,22,34,6,18,3,37,17,2,6,6,19,15,1,3,5,9,49,6,20,6,61,104470,Dreamland Gran Canaria,https://static.acb.com/img/2/58/5b/75611.png,#FFB718,https://www.acb.com/club/plantilla/id/5,https://raw.githubusercontent.com/IvoVillanueva/acbLogosCuadrados/6619f59f8ffb70434097d865e0aab02d1aa0fc2c/DGC.png,Unicaja,https://static.acb.com/img/www/clubes2024/2324UnicajaLogo.png,#3D9C35,https://raw.githubusercontent.com/IvoVillanueva/acbLogosCuadrados/6619f59f8ffb70434097d865e0aab02d1aa0fc2c/UNI.png
DGC,BAX,Visitante,Jor. 3,12,3,1,6,7,44,4,12,5,51,31,5,15,5,39,24,5,8,9,15,28,4,7,2,25,28,3,12,3,29,104477,Dreamland Gran Canaria,https://static.acb.com/img/2/58/5b/75611.png,#FFB718,https://www.acb.com/club/plantilla/id/5,https://raw.githubusercontent.com/IvoVillanueva/acbLogosCuadrados/6619f59f8ffb70434097d865e0aab02d1aa0fc2c/DGC.png,BAXI Manresa,https://static.acb.com/img/31/9/2f/75632.png,#D5001E,https://raw.githubusercontent.com/IvoVillanueva/acbLogosCuadrados/6619f59f8ffb70434097d865e0aab02d1aa0fc2c/BAX.png
GIR,Todos,Todas,Jor. NA,27,4,6,14,19,38,4,15,5,37,22,1,15,3,25,26,3,6,6,28,45,7,18,8,47,31,2,16,2,37,NA,Bàsquet Girona,https://static.acb.com/img/www/clubes2023/BASQUET-GIRONA-Logonegativo2223.png,#B32836,https://www.acb.com/club/plantilla/id/591,https://raw.githubusercontent.com/IvoVillanueva/acbLogosCuadrados/6619f59f8ffb70434097d865e0aab02d1aa0fc2c/GIR.png,NA,NA,NA,NA
GIR,Todos,Todas Local,Jor. NA,15,1,4,10,8,41,6,15,2,37,15,1,17,4,17,27,4,6,4,22,38,5,18,4,42,28,2,14,1,34,NA,Bàsquet Girona,https://static.acb.com/img/www/clubes2023/BASQUET-GIRONA-Logonegativo2223.png,#B32836,https://www.acb.com/club/plantilla/id/591,https://raw.githubusercontent.com/IvoVillanueva/acbLogosCuadrados/6619f59f8ffb70434097d865e0aab02d1aa0fc2c/GIR.png,NA,NA,NA,NA
GIR,Todos,Todas  Visitante,Jor. NA,33,5,8,16,24,37,3,15,6,38,26,0,14,3,30,26,3,6,7,30,48,8,18,10,50,32,2,17,3,38,NA,Bàsquet Girona,https://static.acb.com/img/www/clubes2023/BASQUET-GIRONA-Logonegativo2223.png,#B32836,https://www.acb.com/club/plantilla/id/591,https://raw.githubusercontent.com/IvoVillanueva/acbLogosCuadrados/6619f59f8ffb70434097d865e0aab02d1aa0fc2c/GIR.png,NA,NA,NA,NA
GIR,BUR,Visitante,Jor. 1,21,3,7,16,13,39,2,12,5,36,19,0,12,2,21,20,3,8,5,29,55,5,21,7,57,22,0,12,3,23,104460,Bàsquet Girona,https://static.acb.com/img/www/clubes2023/BASQUET-GIRONA-Logonegativo2223.png,#B32836,https://www.acb.com/club/plantilla/id/591,https://raw.githubusercontent.com/IvoVillanueva/acbLogosCuadrados/6619f59f8ffb70434097d865e0aab02d1aa0fc2c/GIR.png,Recoletas Salud San Pablo Burgos,https://static.acb.com/img/www/clubes2025/2526SanPabloLogo.png,#00669E,https://raw.githubusercontent.com/IvoVillanueva/acbLogosCuadrados/6619f59f8ffb70434097d865e0aab02d1aa0fc2c/BUR.svg
